Year,Category,id,url,title,sentiment
2020,Business,11,https://www.bloomberg.com/news/articles/2020-09-10/singapore-airlines-plans-to-slash-a-quarter-of-workforce,Singapore Air Cuts 20% of Workforce as Virus Smashes Travel,Negative
2020,Business,1,https://www.bloomberg.com/news/articles/2020-12-21/how-covid-ripped-apart-global-airlines-business,"2020 Is Year Airlines Would Rather Forget, as These Charts Show",Negative
2020,Business,43,https://www.bloomberg.com/news/articles/2020-08-04/another-regional-u-s-airline-falls-to-the-covid-19-recession,Another Regional Airline Falls to the Covid-19 Recession,Negative
2020,Business,36,https://www.bloomberg.com/news/articles/2020-07-17/global-air-passenger-slump-to-last-until-2023-moody-s-says,"Global Air Passenger Slump to Last Until 2023, Moody’s Says",Negative
2020,Business,28,https://www.bloomberg.com/news/articles/2020-11-19/boeing-s-737-max-now-faces-its-ultimate-test-passenger-fear,Boeing 737 Max’s Ultimate Test May Be Fearful Passengers,Negative
2020,Business,32,https://www.bloomberg.com/news/articles/2020-05-18/international-plane-travel-creeps-back-with-bubble-corridors,International Airline Travel Creeps Back With ‘Bubble’ Corridors,Positive
2020,Business,39,https://www.bloomberg.com/news/articles/2020-08-20/singapore-air-burns-through-half-of-cash-raised-in-two-months,Singapore Air Goes Through Half of Cash Raised in Two Months,Negative
2020,Business,27,https://www.bloomberg.com/news/articles/2020-06-12/faa-warns-of-tail-strikes-off-course-flying-by-near-empty-jets,"FAA Warns of Tail Strikes, Off-Course Flying by Near-Empty Jets",Negative
2020,Business,44,https://www.bloomberg.com/news/articles/2020-07-23/400-000-jobs-lost-at-airlines-during-coronavirus-pandemic,"Jobs Are Being Wiped Out at Airlines, And There’s Worse to Come",Negative
2020,Business,30,https://www.bloomberg.com/news/articles/2020-08-12/cathay-warns-biggest-crisis-to-persist-after-1-3-billion-loss,Cathay Rises Most Since 2008 as Reopening Chance Offsets Virus,Positive
2020,Business,9,https://www.bloomberg.com/news/articles/2020-06-14/germany-s-condor-airline-to-cut-up-to-1-000-jobs-ceo-tells-fas,"Germany’s Condor Airline to Cut Up to 1,000 Jobs, CEO Says",Negative
2020,Business,12,https://www.bloomberg.com/news/articles/2020-06-09/emirates-kicks-off-thousands-of-job-cuts-to-navigate-virus-slump,Emirates Starts Cutting Thousands of Jobs,Negative
2020,Business,3,https://www.bloomberg.com/news/articles/2020-06-23/discount-airline-group-presses-for-extension-of-u-s-assistance,Discount Airline Group Presses for Extension of U.S. Assistance,Negative
2020,Business,41,https://www.bloomberg.com/news/articles/2020-09-01/aviation-job-losses-could-approach-a-half-million-by-year-s-end,Aviation Job Losses Could Approach a Half-Million by Year’s End,Negative
2020,Business,24,https://www.bloomberg.com/news/articles/2020-08-12/southwest-ceo-sees-airline-posting-first-annual-loss-since-1972,Southwest CEO Sees Airline Posting First Annual Loss Since 1972,Negative
2020,Business,16,https://www.bloomberg.com/news/articles/2020-05-29/germany-and-eu-said-to-reach-deal-over-lufthansa-bailout,Germany Reaches EU Deal on $9.9 Billion Lufthansa Bailout,Positive
2020,Business,19,https://www.bloomberg.com/news/articles/2020-07-15/extension-of-airline-payroll-aid-sought-by-unions-lawmakers,"Extension of Airline Payroll Aid Sought by Unions, Lawmakers",Negative
2020,Business,18,https://www.bloomberg.com/news/articles/2020-08-30/united-air-drops-fees-american-air-whacks-schedule-in-covid-era,"United Air Drops Fees, American Air Whacks Schedule in Covid Era",Negative
