#,System,Architecture,# of Agents,# of roles,Environment,Corpus,Input,Output,Communication,HIM,MuMe Task,Evaluation,Code,Public,Section
67,Live Algorithms,Artificial Neural Networks,Mono-agent,Single-role,Real-world,-,Audio,Audio,Env.,P,Improv.,,Shared,?,6.3
68,Automated,Artificial Neural Networks,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,L,"Improv.,Melody",,Not shared,,6.3
69,ML*,Artificial Neural Networks,Mono-agent,Single-role,Real-world,Hybrid,Audio,Audio,Env.,P+L,Improv.,,Not shared,,6.3
70,Connectionist,Artificial Neural Networks,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,-,Rhythm Gen.,,Not shared,,6.3
71,HARP,Cognitive,Mono-agent,Single-role,Real-world,Symbolic,Hybrid,Hybrid,Mess.,C,"Assisted Comp., Improv.",,Not shared,?,6.4
72,Jambot,Cognitive,Mono-agent,Single-role,Real-world,-,Symbolic,Symbolic,Env.,P,"Rhythm Gen., Improv., Accomp.",,Not shared,,6.4
73,Motivation,Cognitive,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P,Improv.,,Partially shared,?,6.4
74,Mockingbird,Cognitive,Mono-agent,Single-role,Real-world,Hybrid,Audio,Audio,Env.,P+L,"Accomp., Improv.",,Not shared,,6.4
75,MAgentA,Cognitive,Mono-agent,Single-role,Real-world,Symbolic,-,Symbolic,Mess.,-,Comp.,,Not shared,,6.4
76,FO with flow,Cognitive,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P+L,Improv.,,Not shared,,6.4
77,MASC,Cognitive,Multi-agent/Heterogenous,Single-role,Virtual ecosystem,-,-,Symbolic,Mess.,C,Rhythm Gen.,?,Not shared,?,6.4
78,MASOM,Cognitive,Multi-agent/Heterogenous,Single-role,Real-world,Hybrid,Audio,Audio,Env.,P+L,"Improv., Comp.",,Partially,?,6.4
